2013 Ford Escape SEL	$9,999	95,793 miles	SUV 	Gray 	4 Cyl 
2015 Nissan Altima S	$9,890	15,542 miles	Sedan 	White 	4 Cyl 
2007 Infiniti G35	$6,999	112,457 miles	Sedan 	White 	6 Cyl 
2014 Infiniti Q50 Premium	$15,999	87,981 miles	Sedan 	Gray 	6 Cyl 
2015 Nissan Rogue SV	$12,999	80,263 miles	SUV 	White 	4 Cyl 
2014 Infiniti Q50 Premium	$18,999	32,808 miles	Sedan 	Black 	6 Cyl 
2012 Cadillac CTS Premium	$9,999	106,692 miles	Sedan 	Red 	6 Cyl 
2013 BMW X5 xDrive35i	$19,999	59,846 miles	SUV 	White 	6 Cyl 
2016 Toyota Camry XLE	$12,999	44,204 miles	Sedan 	Black 	4 Cyl 
2015 Nissan Rogue S	$11,999	69,223 miles	SUV 	Gray 	4 Cyl 
2016 Honda Civic LX	$12,980	14,247 miles	Sedan 	White 	4 Cyl 
2015 Toyota Corolla S	$9,880	44,463 miles	Sedan 	Silver 	4 Cyl 
2016 Honda Civic LX	$11,890	27,635 miles	Sedan 	White 	4 Cyl 
2015 Jeep Cherokee Limited Edition	$16,890	46,951 miles	SUV 	White 	6 Cyl 
2015 Toyota RAV4 LE	$15,490	17,569 miles	SUV 	Gray 	4 Cyl 
2016 Nissan Maxima SR	$20,895	25,428 miles	Sedan 	White 	6 Cyl 
2015 Toyota Venza LE	$12,980	46,214 miles	Wagon 	White 	4 Cyl 
2015 Toyota RAV4 LE	$14,980	24,367 miles	SUV 	Silver 	4 Cyl 
2015 Audi A6 2.0T	$22,980	31,501 miles	Sedan 	Black 	4 Cyl 
2015 Jeep Cherokee Trailhawk	$19,980	55,740 miles	SUV 	Gray 	6 Cyl 
2015 Jeep Cherokee Limited Edition	$17,490	32,780 miles	SUV 	Gray 	6 Cyl 
2016 Honda Civic LX	$12,980	18,671 miles	Sedan 	Gray 	4 Cyl 
2015 Acura ILX Technology	$14,480	26,631 miles	Sedan 	Black 	4 Cyl 
2013 Infiniti G37	$13,890	47,851 miles	Sedan 	Black 	6 Cyl 
2015 Acura ILX Technology	$14,480	20,514 miles	Sedan 	White 	4 Cyl 
2006 Honda Element EX-P	$5,995	153,950 miles	SUV 	Black 	4 Cyl 
2011 Subaru Outback 2.5i	$8,995	137,790 miles	Wagon 	Silver 	4 Cyl 
2008 Volvo V70	$6,995	129,000 miles	Wagon 	White 	6 Cyl 
2003 Chevrolet Monte Carlo LS	$4,995	60,000 miles	Coupe 	Blue 	6 Cyl 
2004 Ford Mustang	$5,495	83,928 miles	Coupe 	Gray 	6 Cyl 
2006 GMC Sierra 1500 SLE	$6,995	204,503 miles	Pickup 	White 	8 Cyl 
2011 Ford Fiesta SE	$5,400	81,816 miles	Hatchback 	Silver 	4 Cyl 
2012 Audi A4 2.0T	$10,990	102,029 miles	Sedan 	White 	4 Cyl 
2010 Ford Fusion Sport	$8,750	70,151 miles	Sedan 	Silver 	6 Cyl 
2008 Toyota Highlander Sport	$9,950	158,685 miles	SUV 	White 	6 Cyl 
2009 Ford Focus SE	$4,995	72,135 miles	Coupe 	Silver 	4 Cyl 
2008 Honda Civic Si	$7,995	121,425 miles	Coupe 	Red 	4 Cyl 
2002 Acura TL Type S	$5,895	106,996 miles	Sedan 	Silver 	6 Cyl 
2012 Chevrolet Corvette	$20,990	99,409 miles	Coupe 	Silver 	8 Cyl 
2012 Honda CR-V EXL	$16,995	38,452 miles	SUV 	Silver 	4 Cyl 
2014 Toyota Corolla LE	$13,392	34,934 miles	Sedan 	Gray 	4 Cyl 
2015 BMW 5 Series 528i	$26,694	36,521 miles	Sedan 	Black 	4 Cyl 
2015 Toyota Corolla S	$14,995	28,465 miles	Sedan 	White 	4 Cyl 
2016 Buick Encore Base	$16,291	12,252 miles	SUV 	White 	4 Cyl 
2015 BMW 3 Series 328i xDrive	$20,995	46,319 miles	Sedan 	Black 	4 Cyl 
2016 Nissan Juke S	$14,998	22,849 miles	SUV 	Red 	4 Cyl 
2014 Toyota Prius v Five	$19,995	20,527 miles	Wagon 	Black 	4 Cyl 
2015 Toyota Corolla LE	$13,992	18,980 miles	Sedan 	Gray 	4 Cyl 
2015 BMW 5 Series 528i	$26,995	34,609 miles	Sedan 	Black 	4 Cyl 
2015 BMW 4 Series 428i	$23,995	45,504 miles	Coupe 	White 	4 Cyl 
2014 Kia Soul Base	$6,495	146,145 miles	Wagon 	White 	4 Cyl 
2013 Honda CR-V LX	$10,995	111,032 miles	SUV 	Black 	4 Cyl 
2008 Mazda Mazda3 s Sport	$5,999	105,681 miles	Hatchback 	Black 	4 Cyl 
2003 Toyota RAV4 Base	$5,299	134,054 miles	SUV 	Gold 	4 Cyl 
2005 Acura MDX Touring	$6,499	127,255 miles	SUV 	Turquoise 	6 Cyl 
2015 Lexus RX 350	$26,991	41,495 miles	SUV 	Black 	6 Cyl 
2015 Mini Cooper	$13,499	22,933 miles	Hatchback 	White 	3 Cyl 
2014 Ford Escape SE	$14,487	27,934 miles	SUV 	Silver 	4 Cyl 
2015 Ford Fiesta S	$9,499	12,217 miles	Sedan 	Silver 	4 Cyl 
2015 GMC Acadia SLE	$20,555	20,705 miles	SUV 	Blue 	6 Cyl 
2016 Lexus NX 200t	$30,998	13,072 miles	SUV 	Blue 	4 Cyl 
2015 Mercedes-Benz S-Class S 550	$54,898	20,258 miles	Sedan 	Black 	8 Cyl 
2015 Volkswagen Tiguan SE	$16,998	41,678 miles	SUV 	Silver 	4 Cyl 
2015 Chevrolet Cruze LS	$10,487	17,272 miles	Sedan 	White 	4 Cyl 
